[2022-12-17 14:03:47] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-17 14:03:47] [INFO   ] configuration file was loaded from resources directory.
[2022-12-17 14:03:48] [SEVERE ] removing player 1 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 1 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 1 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 1 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] placing card 75 in slot 2
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 2
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 2
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 2
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 2
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 2
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-17 14:03:48] [SEVERE ] removing player 0 token from slot 2
[2022-12-17 14:03:48] [SEVERE ] player 0 placing token on slot 1
